Starting a Gradle Daemon (subsequent builds will be faster)
> Task :app:generateEffectiveLombokConfig UP-TO-DATE
> Task :app:compileJava UP-TO-DATE
> Task :app:processResources UP-TO-DATE
> Task :app:classes UP-TO-DATE

> Task :app:run
[2024-02-24T14:54:35,297] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760e.ogg
[2024-02-24T14:54:35,305] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760f.ogg
[2024-02-24T14:54:35,313] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760g.ogg
[2024-02-24T14:54:35,321] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760h.ogg
[2024-02-24T14:54:35,329] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760i.ogg
[2024-02-24T14:54:35,345] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760j.ogg
[2024-02-24T14:54:35,359] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760k.ogg
[2024-02-24T14:54:35,367] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760l.ogg
[2024-02-24T14:54:35,378] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760m.ogg
[2024-02-24T14:54:35,387] [INFO] [Unzipper]: Found entry Transcription Package 1/00000002/s97l760n.ogg
[2024-02-24T14:54:35,390] [INFO] [Unzipper]: Found entry Transcription Package 1/00000003/s97xuv00.ogg
[2024-02-24T14:54:35,398] [INFO] [Unzipper]: Found entry Transcription Package 1/00000003/s97xuv01.ogg
[2024-02-24T14:54:35,406] [INFO] [Unzipper]: Found entry Transcription Package 1/00000003/s97xuv02.ogg
[2024-02-24T14:54:35,414] [INFO] [Unzipper]: Found entry Transcription Package 1/00000003/s97xuv03.ogg
[2024-02-24T14:54:35,422] [INFO] [Unzipper]: Found entry Transcription Package 1/00000003/s97xuv04.ogg
[2024-02-24T14:54:35,429] [INFO] [Unzipper]: Found entry Transcription Package 1/00000003/s97xuv05.ogg
[2024-02-24T14:54:35,434] [INFO] [Unzipper]: Found entry Transcription Package 1/00000004/s981yo00.ogg
[2024-02-24T14:54:35,442] [INFO] [Unzipper]: Found entry Transcription Package 1/00000004/s981yo01.ogg
[2024-02-24T14:54:35,450] [INFO] [Unzipper]: Found entry Transcription Package 1/00000004/s981yo02.ogg
